;Дорога:  Октябрьская;;;;;;;;;Прогноз погоды:;;;;;;Сб 23.ноя.;;;;-;Пн 25.ноя. 2024 г.;;;;;;;;;;;;;;;;
СПб-В;Усть-Луга;· *;· *;**;· *;;··;2;2;2;1;0;6;-2;0;-3;2;-3;5;0;0;0;0;0;0;10;7;8;7;17;15;-;-;-;-;-;-
Волх;Волховстрой;· *;;*;;;· *;1;0;1;0;0;4;-2;0;-6;-1;-5;1;2;3;3;3;3;4;10;7;10;9;14;17;-;-;-;-;-;-
Волх;Тихвин;· *;*;*;*;;· *;1;1;1;1;0;4;-2;0;-6;-1;-5;1;2;2;2;3;3;4;10;8;9;8;11;15;-;-;-;-;-;-
Волх;Бабаево;**;· *;;;;**;3;3;0;0;0;2;-4;-1;-7;-2;-8;-1;13;15;15;15;15;16;12;8;9;8;6;15;-;-;-;-;-;+
Волх;Нелазское;· *;· *;*;;;;3;8;1;0;0;0;-3;0;-7;-2;-8;-1;4;8;8;8;8;8;13;7;9;7;4;16;-;-;-;-;-;-
Волх;Хвойная;**;*;;;;· *;3;1;0;0;0;3;-4;0;-7;-1;-6;-1;5;6;6;6;6;7;11;8;9;9;9;15;-;-;-;-;-;+
Волх;Лодейное Поле;· *;· *;**;· *;;· *;2;1;2;1;0;8;-3;0;-7;-1;-7;0;6;7;8;8;8;11;10;5;5;8;12;15;-;-;-;-;-;-
Петр;Петрозаводск;*;· *;;;;· *;1;1;0;0;0;3;-3;-1;-10;-2;-8;0;10;10;10;10;10;12;13;3;6;10;10;16;-;-;-;-;-;-
Петр;Медвежья Гора;*;;;;;· *;1;0;0;0;0;6;-3;-1;-10;-5;-13;-1;17;17;17;17;17;21;13;2;7;7;9;14;-;-;-;-;-;-
Петр;Беломорск;;;;;;· *;0;0;0;0;0;4;-3;0;-12;-6;-9;1;20;20;20;20;19;21;15;7;10;12;11;15;-;-;-;-;-;-
Петр;Кемь;;;;;;· *;0;0;0;0;0;4;-3;-1;-12;-7;-10;0;0;0;0;0;0;0;14;7;11;11;8;15;-;-;-;-;-;-
Петр;Костомукша;*;;;;;· *;1;0;0;0;0;6;-6;-3;-12;-7;-12;-1;20;20;20;20;20;22;12;8;9;9;12;16;-;-;-;-;-;-
Петр;Сортавала;· *;*;;;;· *;3;1;0;0;0;15;-2;0;-9;-2;-7;3;0;0;0;0;0;0;11;4;7;5;13;17;-;-;-;-;-;-
Мурм;Кандалакша;**;;*;;;· *;2;0;1;0;0;4;-4;-2;-7;-2;-9;-1;0;0;0;0;0;0;12;10;9;5;2;12;-;-;-;-;-;-
Мурм;Апатиты;**;**;**;*;;**;4;3;2;1;0;3;-6;-3;-13;-1;-12;-2;0;0;0;0;0;0;11;10;10;9;1;10;-;-;-;-;-;-
Мурм;Оленегорск;**;*;*;;;*;2;1;1;0;0;1;-7;-4;-8;-2;-13;-5;30;30;30;30;29;29;13;13;13;10;6;5;-;-;-;-;-;-
Мурм;Полярный Круг;**;*;;*;;· *;2;1;0;1;0;4;-4;-1;-7;-2;-8;-1;0;0;0;0;0;0;13;10;9;7;5;12;-;-;-;-;-;-
Мурм;Мурманск;;;**;;;;0;0;2;0;0;0;-7;-4;-6;1;-11;-5;22;22;23;22;22;22;18;18;18;17;4;7;-;-;-;-;-;-
Мурм;Магнетиты;;*;**;;;;0;1;2;0;0;0;-7;-4;-7;0;-11;-5;25;24;25;24;24;24;17;17;17;16;4;7;-;-;-;-;-;-
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Исп.:ЦДИ Метео;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Нач. отдела  Е.А.Головков  т.2-76-20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
