,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Дорога:  Октябрьская,,,,,,,,,Прогноз погоды:,,,,,,11/25/2024,,,,-,11/27/2024,,,,,,,,,,,,,,,,
С.-Петер,Приозерск,· *,·,·,·,·,·,1,1,2,3,4,3,-2.1,5.4,3.3,6.6,2.5,5,0,0,0,0,0,0,18,18,16,13,6,5,0,0,0,0,0,0
СПб-В,Дно,**,·,,,· *,· *,2,3,0,0,3,2,-3.1,2.5,0.3,5,-1.6,2.3,1,2,1,1,2,2,16,15,15,13,10,5,0,0,0,0,0,0
СПб-В,Великие Луки,,· *,,,· *,· *,0,2,0,0,1,3,-3.7,0.8,-1.6,2.9,-1.7,0.7,0,1,1,1,1,2,15,14,13,13,10,5,0,0,0,0,0,0
СПб-В,Псков,· *,·,,,· *,,6,1,0,0,4,0,-2,3.5,1.1,4.8,-1.3,3.3,3,2,2,1,2,2,16,15,15,13,9,4,0,0,0,0,0,0
СПб-В,Гатчина,· *,·,,,· *,· *,2,2,0,0,8,2,-3,3.5,1.5,5.2,-0.8,2.6,3,3,2,1,2,2,18,18,17,13,8,5,1,0,0,0,0,0
СПб-В,Усть-Луга,· *,·,·,··,· *,,6,2,1,6,8,0,-0.4,6.3,4.2,6.7,2,5.6,0,0,0,0,0,0,19,19,16,13,6,5,0,0,0,0,0,0
Волх,Волховстрой,,· *,,,· *,· *,0,1,0,0,4,2,-3.3,2.2,0.1,4.6,-0.1,1.9,0,1,0,0,1,1,17,17,16,15,10,6,0,0,0,0,0,0
Волх,Тихвин,,· *,,,· *,· *,0,2,0,0,1,3,-4,1.9,-0.3,4.7,0.3,2.3,4,4,2,2,1,2,16,15,16,15,10,7,0,0,0,0,0,0
Волх,Бабаево,,· *,,·,,· *,0,2,0,1,0,1,-8.8,0.1,-2,2.9,-1.1,0.9,20,20,18,12,8,8,14,16,14,14,9,7,0,0,0,0,0,0
Волх,Нелазское,,· *,,,,,0,1,0,0,0,0,-6.7,-0.4,-2.5,1.6,-2.2,0.8,7,7,7,6,5,5,12,16,13,12,9,8,0,1,0,0,0,0
Волх,Хвойная,,· *,,·,,· *,0,2,0,1,0,3,-6.2,0.6,-1.8,3.6,-0.7,1.3,6,6,6,4,3,4,15,16,15,13,10,8,0,1,0,0,0,0
Волх,Лодейное Поле,,· *,,,· *,· *,0,4,0,0,8,3,-4.4,2.1,-0.1,4.5,0,2,13,13,8,5,4,5,17,16,15,13,8,6,0,0,0,0,0,0
Петр,Петрозаводск,,· *,·,· *,· *,· *,0,1,1,1,8,4,-2.7,2.5,0.5,4,0.4,2.4,18,17,9,5,3,4,18,18,17,14,7,5,0,0,0,0,0,0
Петр,Медвежья Гора,,· *,· *,· *,· *,· *,0,3,6,6,2,8,-5.5,2.2,0.2,3.9,0.3,2.3,24,25,13,6,4,5,18,18,15,14,6,2,0,0,0,0,0,0
Петр,Беломорск,,· *,··,·,,· *,0,3,6,1,0,1,-5.7,3.4,1.4,4.8,1.2,3.2,21,21,9,4,3,2,20,22,13,14,9,0,0,0,0,0,0,0
Петр,Кемь,*,· *,·,·,,,1,6,3,1,0,0,-5.8,3.9,1.9,5,1,3,0,0,0,0,0,0,21,22,13,13,8,0,0,0,0,0,0,0
Петр,Костомукша,**,··,··,·,,,3,8,6,2,0,0,-4.4,4.6,2.2,4.7,0,2.1,21,21,9,5,3,2,21,20,14,13,7,1,0,0,0,0,0,0
Петр,Сортавала,· *,··,··,··,·,·,2,6,6,8,1,2,-0.5,5.2,3.1,6,2.6,4.6,0,0,0,0,0,0,21,20,14,14,6,2,0,0,0,0,0,0
Мурм,Кандалакша,**,· *,· *,· *,*,,2,12,2,6,1,0,-4.1,3.3,-1.7,3.9,-4.9,-2.9,0,0,0,0,0,0,17,14,4,9,3,2,0,0,0,0,0,0
Мурм,Апатиты,*,· *,*,· *,,,1,12,1,6,0,0,-11.3,1.6,-5.8,2.4,-7.9,-5.9,0,0,0,0,0,0,14,13,4,11,2,0,0,0,0,0,0,0
Мурм,Оленегорск,*,· *,,· *,,,1,10,0,6,0,0,-7,1.4,-7.9,1.4,-12.1,-10.1,30,33,29,26,24,24,13,15,4,10,0,0,0,0,0,0,0,0
Мурм,Полярный Круг,*,· *,· *,·,· *,*,1,8,2,3,1,1,-3.6,4,-0.1,4.6,-2,0,0,0,0,0,0,0,19,17,8,11,3,3,0,0,0,0,0,0
Мурм,Мурманск,,· *,,***,,,0,6,0,6,0,0,-7.1,0.8,-6.6,-3,-12.2,-9.9,23,26,26,29,29,29,15,14,8,6,1,1,0,0,0,0,0,0
Мурм,Магнетиты,,· *,,***,,,0,6,0,6,0,0,-7.7,0.8,-7.3,-2.8,-12.5,-10.4,25,27,26,30,29,29,15,14,7,5,1,1,0,0,0,0,0,0
Регион,,,,Вид осадков.,,,,"Осадки, мм/12ч.",,,,,,"Температура возд, гр.С.",,,,,,"Высота снега,см",,,,,,"Порывы ветра, м/с",,,,,,,Гололед,,,,
,Станция,11/28/2024,,11/29/2024,,11/30/2024,,11/28/2024,,11/29/2024,,11/30/2024,,11/28/2024,,11/29/2024,,11/30/2024,,11/28/2024,,11/29/2024,,11/30/2024,,11/28/2024,,11/29/2024,,11/30/2024,,11/28/2024,,11/29/2024,,11/30/2024,
,,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д
Моск,Москва,*,· *,,,,,1,1,0,0,0,0,-6.6,0,-5.7,-0.2,-5.6,0,7,7,7,6,6,6,1,2,1,5,7,9,0,0,0,0,0,0
Моск,Тверь,*,· *,,,,,1,1,0,0,0,0,-9.5,0.3,-9.8,0.3,-3.2,0.6,20,19,18,17,16,14,4,1,3,6,8,10,0,0,0,0,0,0
Моск,Бологое,**,,,,,,3,0,0,0,0,0,-3.2,1.2,-3.6,0.8,-3.3,0.9,6,5,5,4,3,3,2,3,5,8,8,11,0,0,0,0,0,0
Моск,Сонково,,· *,,,,,0,2,0,0,0,0,-6.8,-0.5,-4.3,0.3,-2.6,0.4,8,9,9,8,8,8,6,2,4,8,8,11,0,0,0,0,0,0
Моск,Ржев,**,,,,,,2,0,0,0,0,0,-8.2,0.9,-3.5,0.3,-3.4,0.1,14,12,11,11,10,10,3,1,3,4,6,11,0,0,0,0,0,0
С.-Петер,Чудово,,,,,,· *,0,0,0,0,0,1,-1.8,3.1,-2,2.4,-3,2.1,2,1,1,1,1,1,5,6,6,7,9,11,0,0,0,0,0,0
С.-Петер,Малая Вишера,,,,,,· *,0,0,0,0,0,1,-1.9,2.6,-2.7,1.8,-3.7,1.6,2,1,1,1,1,1,4,7,6,7,9,11,0,0,0,0,0,0
С.-Петер,Тосно,,,,,,· *,0,0,0,0,0,2,0.1,3.3,-0.7,2.8,-2.5,2.2,1,1,1,1,1,1,7,7,6,8,11,10,0,0,0,0,0,0
С.-Петер,Санкт-Петербург,,· *,· *,,,· *,0,1,2,0,0,1,0.5,3.4,0.2,3.5,-1.5,3.6,1,1,1,1,1,1,6,8,6,10,10,11,0,0,0,0,0,0
С.-Петер,Мга,,,,,,· *,0,0,0,0,0,1,0.3,3.4,-0.3,3.1,-2.3,2.4,1,1,1,1,1,1,6,7,7,9,10,10,0,0,0,0,0,0
С.-Петер,Зеленогорск,,· *,· *,,,·,0,1,2,0,0,1,2,4,0.5,3.7,-0.4,4.3,0,0,0,0,0,0,7,8,6,9,11,12,0,0,0,0,0,0
С.-Петер,Выборг,·,·,· *,,,·,1,3,1,0,0,1,2.6,5,1.1,3.7,-0.9,4.4,0,0,0,0,0,0,7,8,7,8,12,10,0,0,0,0,0,0
С.-Петер,Приозерск,· *,· *,· *,,,,1,1,1,0,0,0,1.9,3.9,0.8,3.2,-2.3,4,0,0,0,0,0,0,6,7,7,9,12,8,0,0,0,0,0,0
СПб-В,Дно,,,,,,,0,0,0,0,0,0,0.2,3.4,-1.8,3.3,-2.9,2.1,2,1,1,1,1,1,5,5,2,5,8,11,0,0,0,0,0,0
СПб-В,Великие Луки,,,· *,,,,0,0,4,0,0,0,-1.3,2.1,-1.3,1.2,-4.7,1.5,2,1,2,2,2,1,4,7,7,0,4,10,0,0,0,0,0,0
СПб-В,Псков,,· *,,,,,0,1,0,0,0,0,0.7,3.9,0.1,3.1,-2.5,2.2,1,1,1,1,1,1,5,6,2,4,8,10,0,0,0,0,0,0
СПб-В,Гатчина,,,,,,· *,0,0,0,0,0,1,0.3,2.9,-0.7,2.7,-2.4,2.8,2,1,1,1,1,1,7,8,6,8,11,10,0,0,0,0,0,0
СПб-В,Усть-Луга,·,·,· *,,,,1,2,2,0,0,0,2.5,4.6,1.1,4.4,0.3,4.5,0,0,0,0,0,0,9,8,5,8,11,11,0,0,0,0,0,0
Волх,Волховстрой,· *,,,,,,1,0,0,0,0,0,-1,3.1,-1.8,2.7,-3,2.1,1,1,1,1,1,1,5,7,8,9,9,10,0,0,0,0,0,0
Волх,Тихвин,· *,,,,,,2,0,0,0,0,0,-1.8,2,-2.8,2,-2,1.5,2,2,2,2,1,1,4,6,8,8,9,11,0,0,0,0,0,0
Волх,Бабаево,**,· *,,,,,2,1,0,0,0,0,-6.5,0.9,-6,1.1,-1.9,0.7,9,8,8,8,7,7,4,3,7,9,7,12,0,0,0,0,0,0
Волх,Нелазское,*,· *,,,,,1,2,0,0,0,0,-6.5,-0.2,-3.1,0.9,-2.2,0.7,5,6,6,6,6,6,7,3,5,10,8,11,0,0,0,0,0,0
Волх,Хвойная,· *,,· *,,,,4,0,1,0,0,0,-3,0.9,-3,1.1,-2.1,0.8,6,5,5,5,4,4,3,5,6,9,8,12,0,0,0,0,0,0
Волх,Лодейное Поле,· *,,,,,,1,0,0,0,0,0,-1.6,1.9,-2.7,2.4,-2.9,2.4,4,3,3,2,2,2,4,6,8,9,9,11,0,0,0,0,0,0
Петр,Петрозаводск,· *,,· *,,,,2,0,1,0,0,0,-1.7,2.1,-0.6,2.5,-5,2.1,4,3,3,2,2,2,4,7,10,10,10,12,0,0,0,0,0,0
Петр,Медвежья Гора,· *,,· *,,,· *,3,0,1,0,0,2,-1.9,1.4,-1.8,1.8,-5.6,-0.3,5,4,4,3,3,4,2,5,11,10,8,8,0,0,0,0,0,0
Петр,Беломорск,· *,· *,· *,*,,,3,1,1,1,0,0,-1,1.4,-1.2,2.4,-5.4,-1.9,2,2,1,1,1,1,2,5,12,13,13,9,0,0,0,0,0,0
Петр,Кемь,· *,,,*,,,1,0,0,1,0,0,-2.2,1.8,-1.2,2.1,-5.6,-3,0,0,0,0,0,0,2,7,12,13,13,10,0,0,0,0,0,0
Петр,Костомукша,,,· *,,,*,0,0,1,0,0,1,-1.7,0.6,-1.9,0.7,-5.6,-2.7,2,2,2,2,2,3,1,4,11,13,9,1,0,0,0,0,0,0
Петр,Сортавала,,,· *,,,,0,0,1,0,0,0,1.7,4.2,1,3.5,-1.8,2.7,0,0,0,0,0,0,4,6,8,9,10,8,0,0,0,0,0,0
Мурм,Кандалакша,*,· *,*,,,,1,1,1,0,0,0,-6.2,-0.8,-3.1,-0.3,-7.4,-5,0,0,0,0,0,0,2,5,11,16,16,14,0,0,0,0,0,0
Мурм,Апатиты,*,*,**,,,,1,1,2,0,0,0,-9.5,-3.1,-6.6,-2,-9.3,-7,0,0,0,0,0,0,2,4,12,15,16,14,0,0,0,0,0,0
Мурм,Оленегорск,,,*,,*,*,0,0,1,0,1,1,-15.3,-5.1,-7.7,-3.1,-10.2,-7.7,24,24,24,24,23,23,0,6,12,16,18,16,0,0,0,0,0,0
Мурм,Полярный Круг,**,· *,*,,,,2,1,1,0,0,0,-3.9,0.6,-1.7,0.8,-6.6,-4.1,0,0,0,0,0,0,2,8,11,15,15,13,0,0,0,0,0,0
Мурм,Мурманск,,,*,,,**,0,0,1,0,0,2,-18,-11.4,-13.4,-3.6,-8.4,-5.4,29,28,28,28,27,28,1,4,15,22,22,20,0,0,0,0,0,0
Мурм,Магнетиты,,,*,,*,*,0,0,1,0,1,1,-18,-10.8,-13,-3.6,-8.7,-5.6,29,29,29,29,28,29,1,4,14,21,21,19,0,0,0,0,0,0
Регион,,,,Вид осадков.,,,,"Осадки, мм/12ч.",,,,,,"Температура возд, гр.С.",,,,,,"Высота снега,см",,,,,,"Порывы ветра, м/с",,,,,,,Гололед,,,,
,Станция,12/1/2024,,12/2/2024,,12/3/2024,,12/1/2024,,12/2/2024,,12/3/2024,,12/1/2024,,12/2/2024,,12/3/2024,,12/1/2024,,12/2/2024,,12/3/2024,,12/1/2024,,12/2/2024,,12/3/2024,,12/1/2024,,12/2/2024,,12/3/2024,
,,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д,н,д
Моск,Москва,*,· *,· *,,,,1,2,2,0,0,0,-3.5,0.5,-1.9,1.9,-6.3,1.4,6,5,5,0,0,0,10,9,12,9,5,10,0,0,0,0,0,0
Моск,Тверь,· *,· *,· *,,,,2,2,1,0,0,0,-2.6,0.8,-1.3,2.2,-9.2,2,15,12,9,6,6,6,10,10,12,6,5,10,0,0,0,0,0,0
Моск,Бологое,· *,,,,,,1,0,0,0,0,0,-1.9,1.8,-0.2,3.1,-5.7,2.3,3,3,2,2,2,2,11,12,11,5,9,10,0,0,0,0,0,0
Моск,Сонково,· *,· *,· *,,,· *,2,2,1,0,0,1,-2.8,0.9,-1.3,2.5,-6.7,1.1,8,7,4,3,3,3,9,12,12,8,8,12,0,0,0,0,0,0
Моск,Ржев,· *,· *,,,,,1,1,0,0,0,0,-2.9,0.5,-1.8,1.7,-5.7,1.9,10,9,7,0,0,0,10,10,12,7,6,10,0,0,0,0,0,0
С.-Петер,Чудово,· *,,,,,,1,0,0,0,0,0,-0.8,4.3,1.8,4.7,-3.9,3.6,1,1,1,1,1,1,10,13,9,3,11,9,0,0,0,0,0,0
С.-Петер,Малая Вишера,· *,· *,,,,,1,1,0,0,0,0,-1.4,3.6,1.3,4.4,-4.4,3.2,1,1,1,1,1,1,10,12,9,4,11,9,0,0,0,0,0,0
С.-Петер,Тосно,,,·,,,,0,0,1,0,0,0,0.1,4.8,2.3,4.6,-3.6,3.8,1,1,1,1,1,0,10,12,9,1,11,9,0,0,0,0,0,0
С.-Петер,Санкт-Петербург,,,,,,,0,0,0,0,0,0,1.6,5.2,1.8,4.9,-3.2,4.4,1,0,0,0,0,0,11,13,8,1,12,12,0,0,0,0,0,0
С.-Петер,Мга,,,· *,,,,0,0,1,0,0,0,0.3,5.1,2,5,-3.6,4,1,0,8,8,8,8,11,12,8,2,12,10,0,0,0,0,0,0
С.-Петер,Зеленогорск,,,,,,,0,0,0,0,0,0,2,5.1,1.7,5.1,-2.4,4.6,0,0,,,,,11,13,8,2,12,12,0,0,0,0,0,0
С.-Петер,Выборг,,,,,· *,,0,0,0,0,1,0,1.4,5,1.9,4.9,-1.6,4.9,0,0,,,,,9,12,8,4,10,7,0,0,0,0,0,0
С.-Петер,Приозерск,,·,,,,,0,1,0,0,0,0,-0.9,4.9,1.7,3.9,-3.7,3.7,0,0,35,35,35,35,9,12,7,5,11,6,0,0,0,0,0,0
СПб-В,Дно,,,,,,,0,0,0,0,0,0,-0.5,3.7,0.8,4.3,-1.6,4.1,1,1,1,1,1,0,10,9,9,3,7,9,0,0,0,0,0,0
СПб-В,Великие Луки,,,,,,,0,0,0,0,0,0,-1.9,1.5,-1.2,2.6,0.3,3.1,1,1,1,0,0,0,10,8,8,3,4,7,0,0,0,0,0,0
СПб-В,Псков,,,,,,,0,0,0,0,0,0,-0.1,3.9,0.2,4.1,1.2,3.5,1,1,20,20,20,20,9,8,8,1,7,7,0,0,0,0,0,0
СПб-В,Гатчина,,,,,,,0,0,0,0,0,0,0.8,4.8,2.2,4.5,-3.4,3.7,1,1,1,1,1,1,11,13,8,1,11,10,0,0,0,0,0,0
СПб-В,Усть-Луга,,,,,· *,,0,0,0,0,1,0,2.4,5.4,2.6,5.7,-0.7,4.8,0,0,,,,,10,12,7,1,9,9,0,0,0,0,0,0
Волх,Волховстрой,· *,·,,,,,1,3,0,0,0,0,-0.4,5,2.1,4.9,-3.7,3.6,1,1,0,0,0,0,10,12,10,4,12,10,0,0,0,0,0,0
Волх,Тихвин,· *,·,· *,,,,3,3,1,0,0,0,-1.1,4.2,1.8,4.5,-4.7,2.1,1,1,1,1,1,1,10,11,9,4,11,10,0,0,0,0,0,0
Волх,Бабаево,· *,· *,*,,,,2,1,1,0,0,0,-1.7,2.2,0.2,2.8,-6.9,1.2,6,5,3,3,3,3,10,11,9,6,12,10,0,0,0,0,0,0
Волх,Нелазское,· *,· *,**,,,· *,1,4,2,0,0,1,-1.8,1.4,-1.1,2.3,-6.2,0.8,5,4,3,3,3,3,9,11,10,9,10,11,0,0,0,0,0,0
Волх,Хвойная,· *,· *,· *,,,,1,2,1,0,0,0,-1.7,2.5,0.5,3.2,-6.1,1.9,4,3,2,2,2,2,11,13,10,5,12,11,0,0,0,0,0,0
Волх,Лодейное Поле,,· *,· *,,,· *,0,3,1,0,0,1,-0.2,3.9,0.3,2.3,-5.5,3.2,2,1,1,1,1,1,9,9,7,4,11,7,0,0,0,0,0,0
Петр,Петрозаводск,· *,· *,**,,*,· *,2,3,2,0,1,1,-1.2,1.9,-5.6,-3.4,-5.5,1.2,2,2,2,2,2,2,9,7,8,5,12,6,0,0,0,0,0,0
Петр,Медвежья Гора,**,**,,,**,,4,4,0,0,2,0,-4.3,-1.3,-8.6,-5,-7.4,0.4,7,10,10,10,12,11,3,6,10,6,9,6,0,0,0,0,0,0
Петр,Беломорск,,*,,*,*,*,0,1,0,1,1,1,-6.3,-3.3,-6.6,-3.5,-6.1,-1.2,1,2,3,3,3,3,7,8,12,9,6,4,0,0,0,0,0,0
Петр,Кемь,,,,*,**,*,0,0,0,1,2,1,-7.3,-3.5,-7.1,-3.5,-6.1,-2.1,0,0,15,16,17,18,9,10,13,10,6,4,0,0,0,0,0,0
Петр,Костомукша,**,**,,,*,,2,3,0,0,1,0,-7.1,-4.1,-9.2,-3.8,-5.9,-0.7,4,6,6,6,6,6,3,5,10,8,7,6,0,0,0,0,0,0
Петр,Сортавала,· *,·,,,,,1,3,0,0,0,0,0.1,5,-1.6,0.4,-2.7,3.2,0,0,,,,,9,11,8,5,12,5,0,0,0,0,0,0
Мурм,Кандалакша,,,,,,**,0,0,0,0,0,2,-8.4,-5.3,-8.1,-4.6,-7.7,-3.6,0,0,,,,,10,12,13,8,2,1,0,0,0,0,0,0
Мурм,Апатиты,,,*,,,**,0,0,1,0,0,2,-10.5,-6.9,-10,-6.6,-12.1,-5,0,0,43,43,43,45,10,9,10,5,2,1,0,0,0,0,0,0
Мурм,Оленегорск,,,*,,,**,0,0,1,0,0,2,-13.2,-9.2,-12.6,-6.4,-15.5,-6.2,23,23,24,24,24,25,9,8,13,4,0,0,0,0,0,0,0,0
Мурм,Полярный Круг,,,,*,,**,0,0,0,1,0,2,-7.4,-4.1,-6.9,-3.7,-6.5,-2.9,0,0,,,,,10,11,13,8,3,2,0,0,0,0,0,0
Мурм,Мурманск,*,*,*,,,,1,1,1,0,0,0,-9.7,-6,-8.2,-4.9,-14.1,-7.2,28,28,28,27,27,27,16,15,14,13,1,0,0,0,0,0,0,0
Мурм,Магнетиты,,*,*,,,,0,1,1,0,0,0,-9.6,-6.3,-8.5,-5.3,-14.7,-6.9,29,28,28,28,28,28,16,14,13,13,1,0,0,0,0,0,0,0
